y=259.975 x=13588
y=302.832 x=13188
y=319.656 x=13148
y=313.057 x=12975
y=351.935 x=13615
y=330.967 x=14025
y=312.248 x=13663
y=296.694 x=13320
y=314.807 x=13789
y=301.498 x=13421
y=318.124 x=13875
y=319.211 x=13770
y=337.536 x=14234
y=372.198 x=14690
y=362.439 x=14583
y=367.031 x=14713
y=386.989 x=15092
y=425.198 x=15405
y=418.821 x=15634
y=370.582 x=15293
y=444.502 x=15801
y=411.272 x=15472
y=88.229 x=7617
y=76.055 x=7352
y=145.107 x=9650
y=199.875 x=11241
y=211.997 x=11576
y=214.078 x=11591
y=225.846 x=11788
y=242.87 x=12118
y=226.156 x=11494
y=69.955 x=6899
y=63.537 x=6711
y=59.578 x=6631
y=58.793 x=6506
y=69.979 x=7144
y=107.307 x=8653
y=368.4 x=14898
y=220.179 x=11700
y=195.588 x=11097
y=183.778 x=10842
y=240.392 x=12168
y=365.262 x=14763
y=380.213 x=14720
y=326.092 x=13848
y=338.101 x=14231
y=366.816 x=14599
y=351.682 x=14305
y=376.5 x=14710
y=351.045 x=14420
y=383.656 x=14762
y=384.532 x=14935
y=397.001 x=15163
y=385.204 x=14848
y=364.908 x=14400
y=327.52 x=13864
y=254.452 x=12401
y=182.914 x=10693
y=123.66 x=8968
y=74.928 x=7149
y=42.232 x=5577
y=20.083 x=3892
y=6.281 x=2193
y=1.804 x=1140
y=0.599 x=557
y=0.458 x=428
y=0.521 x=516
y=0.872 x=755
y=0.834 x=737
y=0.901 x=735
y=1.005 x=850
y=1.553 x=1133
y=1.925 x=1204
y=15.461 x=3570
y=7.01 x=2407
y=78.355 x=7665
y=13.855 x=3183
y=15.69 x=3598
y=21.806 x=4183
y=32.582 x=5038
y=46.69 x=5930
y=61.004 x=6631
y=121.225 x=9176
y=168.503 x=10630
y=255.722 x=12609
y=264.751 x=12805
y=170.461 x=10569
y=196.111 x=11332
y=216.146 x=11882
y=196.289 x=11338
y=225.617 x=11884
y=254.126 x=12685
y=273.171 x=12940
y=255.384 x=12628
y=232.204 x=12137
y=264.4 x=12435
y=242.144 x=12428
y=200.259 x=11329
y=149.809 x=10024
y=122.258 x=9058
y=102.967 x=8466
y=88.915 x=7955
y=97.987 x=8311
y=106.025 x=8472
y=117.153 x=8885
y=139.011 x=9693
y=173.321 x=10658
y=226.453 x=12038
y=226.918 x=12130
y=270.071 x=12995
y=285.825 x=13143
y=271.019 x=13110
y=245.596 x=12525
y=274.18 x=13014
y=272.923 x=13042
y=269.302 x=13013
y=279.53 x=13190
y=281.224 x=13123
y=285.651 x=13397
y=281.021 x=13287
y=5.833 x=1826
y=9.495 x=2726
y=16.928 x=3731
y=22.364 x=4242
y=32.976 x=5102
y=42.377 x=5697
y=60.863 x=6741
y=72.033 x=7265
y=77.297 x=7461
y=60.669 x=6712
y=47.441 x=5929
y=21.225 x=4173
y=4.599 x=1899
y=1.587 x=1084
y=0.577 x=506
y=0.213 x=170
y=0.173 x=113
y=0.199 x=136
y=0.207 x=149
y=0.213 x=160
y=0.186 x=134
y=5.978 x=2275
y=1.526 x=966
y=16.52 x=3511
y=29.181 x=4872
y=38.317 x=5437
y=47.709 x=6019
y=73.632 x=7140
y=83.38 x=7613
y=103.49 x=8518
y=125.761 x=9014
y=156.906 x=9578
y=174.584 x=10204
y=163.656 x=10259
y=170.277 x=10474
y=163.631 x=10344
y=159.587 x=10237
y=148.572 x=9928
y=143.031 x=9815
y=139.464 x=9716
y=101.364 x=8370
y=137.844 x=9628
y=143.159 x=9102
y=115.524 x=8626
y=71.181 x=6963
y=80.626 x=7529
y=94.712 x=8013
y=51.877 x=5989
y=59.866 x=6635
y=36.358 x=5246
y=11.41 x=2982
y=11.776 x=3049
y=24.766 x=3390
y=22.547 x=3733
y=37.149 x=4797
y=48.707 x=5047
y=32.791 x=4115
y=70.557 x=6517
y=110.042 x=7273
y=108.229 x=7507
y=166.094 x=8876
y=179.355 x=9286
y=158.217 x=9188
y=156.343 x=9179
y=170.369 x=9507
y=182.058 x=9939
y=258.688 x=9859
y=166.997 x=9859
y=217.337 x=9960
y=183.317 x=9527
y=149.906 x=8648
y=85.985 x=6837
y=78.293 x=6568
y=37.027 x=4573
y=26.541 x=3779
y=68.735 x=6015
y=31.819 x=4144
y=19.65 x=3328
y=0.129 x=0
y=5.893 x=1881
y=21.924 x=3770
y=30.806 x=4208
y=88.28 x=6681
y=103.231 x=6943
y=91.974 x=7143
y=98.926 x=7079
y=87.59 x=6844
y=101.093 x=7264
y=83.786 x=6769
y=84.525 x=6671
y=0.615 x=428
y=0.725 x=460
y=4.559 x=1563
y=26.392 x=3882
y=58.299 x=5617
y=48.358 x=5056
y=52.848 x=5298
y=75.229 x=6630
y=98.879 x=7321
y=158.362 x=9088
y=218.182 x=10273
y=19.343 x=3359
y=1.971 x=1041
y=2.027 x=1117
y=5.11 x=1921
y=12.621 x=2794
y=31.644 x=4213
y=44.762 x=5098
y=59.414 x=5884
y=112.146 x=7346
y=125.501 x=8155
y=151.783 x=8706
y=207.861 x=10109
y=261.526 x=11013
y=269.398 x=11762
y=333.491 x=12688
y=382.721 x=13532
y=354.31 x=13021
y=349.526 x=13037
y=333.112 x=13312
y=445.208 x=13444
y=408.423 x=13509
y=344.248 x=13501
y=406.392 x=13755
y=410.195 x=13822
y=457.797 x=14111
y=286.624 x=13137
y=25.735 x=4555
y=9.151 x=2509
y=278.803 x=12890
y=381.034 x=14012
y=532.423 x=16691
y=36.972 x=4231
y=181.702 x=10014
y=210.438 x=10690
y=551.195 x=16791
y=447.211 x=15681
y=470.084 x=16123
y=462.895 x=16019
y=475.577 x=16414
y=436.974 x=15946
y=463.133 x=16063
y=481.036 x=16485
y=450.586 x=16041
y=496.4 x=16593
y=495.645 x=16552
y=515.497 x=16834
y=479.327 x=16416
y=500.46 x=16525
y=502.951 x=16614
y=494.164 x=16359
y=475.796 x=16324
y=474.797 x=16326
y=457.856 x=16136
y=451.939 x=15950
y=439.02 x=15606
y=362.473 x=14433
y=99.881 x=8044
y=42.346 x=5518
y=146.97 x=9626
y=283.957 x=13188
y=236.948 x=12052
y=198.136 x=11159
y=193.442 x=11078
y=66.648 x=6664
y=96.454 x=8105
y=295.078 x=13441
y=318.966 x=13586
y=263.82 x=12471
y=228.633 x=11926
y=165.019 x=10200
y=131.094 x=9203
y=50.159 x=5928
y=17.522 x=3604
y=7.277 x=2404
y=7.401 x=2518
y=5.174 x=2075
y=3.722 x=1853
y=53.375 x=6349
y=70.963 x=6891
y=10.086 x=2732
y=135.576 x=9384
y=159.049 x=9984
y=211.481 x=11518
y=195.17 x=11054
y=160.846 x=10154
y=188.782 x=10882
y=227.107 x=11811
y=180.685 x=10806
y=186.631 x=10753
y=199.765 x=11068
y=225.309 x=11823
y=203.289 x=11162
y=201.056 x=11134
y=210.549 x=11422
y=276.523 x=12962
y=272.126 x=12681
y=255.321 x=12418
y=210.553 x=11488
y=211.088 x=11405
y=187.244 x=10820
y=134.625 x=9353
y=137.309 x=9504
y=109.839 x=8454
y=105.992 x=8391
y=86.364 x=7591
y=76.276 x=7332
y=22.939 x=4080
y=1.366 x=849
y=5.642 x=2127
y=27.253 x=4555
y=59.166 x=6634
y=91.906 x=7972
y=129.702 x=9475
y=209.444 x=11528
y=282.404 x=13303
y=325.692 x=14121
y=432.302 x=16092
y=487.792 x=16803
y=526.853 x=17108
y=559.541 x=17693
y=557.056 x=17677
y=603.745 x=18095
y=631.979 x=18113
y=803.722 x=18295
y=849.789 x=18929
y=38.235 x=4555
y=39.744 x=4555
y=12.977 x=2509
y=40.593 x=4555
y=13.8 x=2509
y=688.912 x=20890
y=1048.361 x=23016
y=1149.992 x=24970
y=1220.83 x=25503
y=1424.334 x=26164
y=1458.447 x=26258
y=1482.685 x=26714
y=1468.156 x=26279
y=1410.176 x=26168
y=1390.282 x=26108
y=1383.541 x=25710
y=1360.369 x=25696
y=1385.082 x=25735
y=1387.783 x=25900
y=1365.588 x=25673
y=1415.35 x=26000
y=1245.299 x=25877
y=1381.977 x=25790
y=1408.795 x=26035
y=1440.249 x=26486
y=1499.794 x=26671
y=1029.343 x=24681
y=711.577 x=19091
y=624.788 x=18399
y=500.084 x=16625
y=331.737 x=13958
y=286.955 x=13120
y=282.262 x=12890
y=354.252 x=14182
y=355.91 x=14503
y=357.505 x=14397
y=336.659 x=13860
y=297.231 x=13303
y=280.613 x=12886
y=237.142 x=11932
y=188.206 x=10990
y=185.846 x=10768
y=161.074 x=10172
y=37.177 x=5063
y=20.197 x=3900
y=4.155 x=1726
y=2.636 x=1419
y=2.075 x=1282
y=9.946 x=2816
y=56.791 x=6785
y=206.083 x=11414
y=360.571 x=14602
y=468.53 x=16238
y=544.722 x=17194
y=541.789 x=17448
y=562.06 x=17550
y=539.61 x=17364
y=539.656 x=17880
y=551.094 x=17729
y=556.579 x=17337
y=533.09 x=17037
y=486.843 x=16597
y=426.495 x=15715
y=422.695 x=15548
y=425.518 x=15655
y=493.408 x=16484
y=532.637 x=17157
y=502.324 x=16755
y=464.058 x=16261
y=401.046 x=15235
y=386.595 x=14925
y=285.515 x=13126
y=245.92 x=12167
y=197.784 x=11068
y=159.12 x=10024
y=153.34 x=9950
y=183.39 x=10753
y=88.682 x=7635
y=81.108 x=7433
y=183.727 x=10867
y=317.134 x=13644
y=284.57 x=13187
y=347.977 x=14386
y=395.629 x=15246
y=383.837 x=14715
y=344.613 x=14132
y=340.376 x=14298
y=304.934 x=13552
y=356.018 x=14348
y=349.421 x=14278
y=338.203 x=14126
y=381.419 x=14670
y=356.756 x=14383
y=392.158 x=15083
y=410.419 x=15120
y=378.243 x=14740
y=365.915 x=14519
y=376.842 x=14892
y=351.98 x=14103
y=230.917 x=11993
